purpose,avg_interest_rate
car,13.638571428571428
credit_card,12.142888888888887
debt_consolidation,12.86431192660551
home_improvement,15.345999999999998
house,17.27
major_purchase,10.941666666666668
medical,10.636666666666665
moving,9.91
other,13.26818181818182
small_business,13.323000000000002
vacation,12.42
wedding,7.9
